t,x,y
0.000000E0,9.495550E0,4.992001E0
3.333333E-2,9.436517E0,5.052691E0
8.333333E-2,9.108750E0,5.337587E0
1.333333E-1,8.794745E0,5.594074E0
1.747667E-1,8.588355E0,5.770811E0
2.333333E-1,8.162801E0,6.070234E0
2.666667E-1,7.926710E0,6.207291E0
3.000000E-1,7.714833E0,6.324854E0
3.500000E-1,7.397007E0,6.488097E0
3.886333E-1,7.202326E0,6.572706E0
4.239333E-1,6.998575E0,6.650969E0
4.600333E-1,6.898682E0,6.688676E0
4.906000E-1,6.551420E0,6.776065E0
5.333667E-1,6.260665E0,6.847124E0
5.833333E-1,5.956372E0,6.876506E0
6.166667E-1,5.759580E0,6.892450E0
6.500000E-1,5.518605E0,6.896920E0
6.833333E-1,5.317253E0,6.892437E0
7.166667E-1,5.114860E0,6.869581E0
7.500000E-1,4.914822E0,6.837978E0
7.893667E-1,4.694956E0,6.797177E0
8.166667E-1,4.516560E0,6.733976E0
8.556667E-1,4.296560E0,6.674949E0
8.895333E-1,4.116851E0,6.595896E0
9.166667E-1,3.894892E0,6.516049E0
9.500000E-1,3.714057E0,6.416337E0
9.833000E-1,3.495210E0,6.313589E0
1.016633E0,3.307894E0,6.207452E0
1.050000E0,3.093195E0,6.073699E0
1.083333E0,2.898290E0,5.937453E0
1.116667E0,2.735398E0,5.792879E0
1.150000E0,2.511292E0,5.636315E0
1.183333E0,2.322001E0,5.473023E0
1.216667E0,2.121474E0,5.291063E0
1.250000E0,1.946052E0,5.107668E0
1.289333E0,1.748359E0,4.899015E0
1.316667E0,1.536801E0,4.689443E0
1.356500E0,1.355261E0,4.469654E0
1.383333E0,1.159386E0,4.252441E0
1.416667E0,9.619855E-1,3.998768E0
1.456267E0,7.943179E-1,3.753182E0
1.489633E0,6.135919E-1,3.493986E0
1.516667E0,4.166815E-1,3.229993E0
